state,district,year,residualsodiumcarbonate
Andaman And Nicobar Islands,North And Middle Andaman,2000,
Andaman And Nicobar Islands,North And Middle Andaman,2001,
Andaman And Nicobar Islands,North And Middle Andaman,2002,
Andaman And Nicobar Islands,North And Middle Andaman,2003,
Andaman And Nicobar Islands,North And Middle Andaman,2004,
Andaman And Nicobar Islands,North And Middle Andaman,2005,0.34999999
Andaman And Nicobar Islands,North And Middle Andaman,2006,
Andaman And Nicobar Islands,North And Middle Andaman,2007,
Andaman And Nicobar Islands,North And Middle Andaman,2008,
Andaman And Nicobar Islands,North And Middle Andaman,2009,
Andaman And Nicobar Islands,North And Middle Andaman,2010,
Andaman And Nicobar Islands,North And Middle Andaman,2011,
Andaman And Nicobar Islands,North And Middle Andaman,2012,
Andaman And Nicobar Islands,North And Middle Andaman,2013,
Andaman And Nicobar Islands,North And Middle Andaman,2014,
Andaman And Nicobar Islands,North And Middle Andaman,2015,
Andaman And Nicobar Islands,North And Middle Andaman,2016,
Andaman And Nicobar Islands,North And Middle Andaman,2017,
Andaman And Nicobar Islands,North And Middle Andaman,2018,0
Andaman And Nicobar Islands,South Andaman,2000,
Andaman And Nicobar Islands,South Andaman,2001,
Andaman And Nicobar Islands,South Andaman,2002,
Andaman And Nicobar Islands,South Andaman,2003,
Andaman And Nicobar Islands,South Andaman,2004,
Andaman And Nicobar Islands,South Andaman,2005,1.28
Andaman And Nicobar Islands,South Andaman,2006,
Andaman And Nicobar Islands,South Andaman,2007,
Andaman And Nicobar Islands,South Andaman,2008,
Andaman And Nicobar Islands,South Andaman,2009,
Andaman And Nicobar Islands,South Andaman,2010,4.3000002
Andaman And Nicobar Islands,South Andaman,2011,
Andaman And Nicobar Islands,South Andaman,2012,
Andaman And Nicobar Islands,South Andaman,2013,
Andaman And Nicobar Islands,South Andaman,2014,
Andaman And Nicobar Islands,South Andaman,2015,
Andaman And Nicobar Islands,South Andaman,2016,
Andaman And Nicobar Islands,South Andaman,2017,
Andaman And Nicobar Islands,South Andaman,2018,0
Andhra Pradesh,Anantapur,2000,5.2656665
Andhra Pradesh,Anantapur,2001,4.5327272
Andhra Pradesh,Anantapur,2002,
Andhra Pradesh,Anantapur,2003,0
Andhra Pradesh,Anantapur,2004,-6.1144447
Andhra Pradesh,Anantapur,2005,9.3479996
Andhra Pradesh,Anantapur,2006,5.2127271
Andhra Pradesh,Anantapur,2007,7.3061538
Andhra Pradesh,Anantapur,2008,7.4450002
Andhra Pradesh,Anantapur,2009,7.7816668
Andhra Pradesh,Anantapur,2010,6.9418182
Andhra Pradesh,Anantapur,2011,8.5088892
Andhra Pradesh,Anantapur,2012,0
Andhra Pradesh,Anantapur,2013,4.8094115
Andhra Pradesh,Anantapur,2014,-2.9719999
Andhra Pradesh,Anantapur,2015,-1.22
Andhra Pradesh,Anantapur,2016,
Andhra Pradesh,Anantapur,2017,-1.8356522
Andhra Pradesh,Anantapur,2018,-7.243784
Andhra Pradesh,Chittoor,2000,4.1312499
Andhra Pradesh,Chittoor,2001,
Andhra Pradesh,Chittoor,2002,
Andhra Pradesh,Chittoor,2003,
Andhra Pradesh,Chittoor,2004,-7.4430771
Andhra Pradesh,Chittoor,2005,3.8488889
Andhra Pradesh,Chittoor,2006,3.4112499
Andhra Pradesh,Chittoor,2007,4.027143
Andhra Pradesh,Chittoor,2008,3.5657144
Andhra Pradesh,Chittoor,2009,3.7171428
Andhra Pradesh,Chittoor,2010,4.6284208
Andhra Pradesh,Chittoor,2011,4.5133333
Andhra Pradesh,Chittoor,2012,0
Andhra Pradesh,Chittoor,2013,3.2366667
Andhra Pradesh,Chittoor,2014,-4.4341936
Andhra Pradesh,Chittoor,2015,-2.3425
Andhra Pradesh,Chittoor,2016,
Andhra Pradesh,Chittoor,2017,-5.2946668
Andhra Pradesh,Chittoor,2018,-4.9706249
Andhra Pradesh,East Godavari,2000,2.3408
Andhra Pradesh,East Godavari,2001,
Andhra Pradesh,East Godavari,2002,
Andhra Pradesh,East Godavari,2003,
Andhra Pradesh,East Godavari,2004,-5.8000002
Andhra Pradesh,East Godavari,2005,3.1184616
Andhra Pradesh,East Godavari,2006,2.3800001
Andhra Pradesh,East Godavari,2007,5.9523077
Andhra Pradesh,East Godavari,2008,4.3984613
Andhra Pradesh,East Godavari,2009,5.007143
Andhra Pradesh,East Godavari,2010,3.6276922
Andhra Pradesh,East Godavari,2011,3.6508334
Andhra Pradesh,East Godavari,2012,0
Andhra Pradesh,East Godavari,2013,2.6225808
Andhra Pradesh,East Godavari,2014,-2.4768965
Andhra Pradesh,East Godavari,2015,-0.20666666
Andhra Pradesh,East Godavari,2016,
Andhra Pradesh,East Godavari,2017,-2.8652174
Andhra Pradesh,East Godavari,2018,-2.8468292
Andhra Pradesh,Guntur,2000,3.9606667
Andhra Pradesh,Guntur,2001,
Andhra Pradesh,Guntur,2002,
Andhra Pradesh,Guntur,2003,
Andhra Pradesh,Guntur,2004,-4.2303448
Andhra Pradesh,Guntur,2005,4.4953847
Andhra Pradesh,Guntur,2006,4.3400002
Andhra Pradesh,Guntur,2007,4.8080001
Andhra Pradesh,Guntur,2008,4.4346666
Andhra Pradesh,Guntur,2009,4.0944443
Andhra Pradesh,Guntur,2010,4.1571426
Andhra Pradesh,Guntur,2011,5.4078259
Andhra Pradesh,Guntur,2012,0
Andhra Pradesh,Guntur,2013,4.8551726
Andhra Pradesh,Guntur,2014,-3.4735897
Andhra Pradesh,Guntur,2015,-2.918644
Andhra Pradesh,Guntur,2016,
Andhra Pradesh,Guntur,2017,-6.0663891
Andhra Pradesh,Guntur,2018,-7.0221176
Andhra Pradesh,Krishna,2000,3.9275999
Andhra Pradesh,Krishna,2001,
Andhra Pradesh,Krishna,2002,
Andhra Pradesh,Krishna,2003,
Andhra Pradesh,Krishna,2004,-4.5349998
Andhra Pradesh,Krishna,2005,2.6285715
Andhra Pradesh,Krishna,2006,2.24
Andhra Pradesh,Krishna,2007,5.0266666
Andhra Pradesh,Krishna,2008,6.0666666
Andhra Pradesh,Krishna,2009,7.3316669
Andhra Pradesh,Krishna,2010,6.3088889
Andhra Pradesh,Krishna,2011,6.3492308
Andhra Pradesh,Krishna,2012,0
Andhra Pradesh,Krishna,2013,5.48
Andhra Pradesh,Krishna,2014,-0.067213118
Andhra Pradesh,Krishna,2015,-1.6220409
